row.names,1955,1981
Aria,112,184
Variation 1,45,70
Variation 2,37,49
Variation 3,54,90
Variation 4,29,50
Variation 5,37,37
Variation 6,34,40
Variation 7,68,76
Variation 8,45,53
Variation 9,37,59
Variation 10,42,64
Variation 11,54,53
Variation 12,56,98
Variation 13,130,158
Variation 14,58,64
Variation 15,136,302
Variation 16,78,98
Variation 17,53,54
Variation 18,46,63
Variation 19,42,62
Variation 20,48,50
Variation 21,102,132
Variation 22,42,63
Variation 23,54,58
Variation 24,57,104
Variation 25,390,362
Variation 26,52,51
Variation 27,49,81
Variation 28,71,63
Variation 29,60,61
Variation 30,48,90
Aria da capo,128,222
