row.names,log 1955,log 1981
Aria,2.05,2.26
Variation 1,1.65,1.85
Variation 2,1.57,1.69
Variation 3,1.73,1.95
Variation 4,1.46,1.70
Variation 5,1.57,1.57
Variation 6,1.53,1.60
Variation 7,1.83,1.88
Variation 8,1.65,1.72
Variation 9,1.57,1.77
Variation 10,1.62,1.81
Variation 11,1.73,1.72
Variation 12,1.75,1.99
Variation 13,2.11,2.20
Variation 14,1.76,1.81
Variation 15,2.13,2.48
Variation 16,1.89,1.99
Variation 17,1.72,1.73
Variation 18,1.66,1.80
Variation 19,1.62,1.79
Variation 20,1.68,1.70
Variation 21,2.01,2.12
Variation 22,1.62,1.80
Variation 23,1.73,1.76
Variation 24,1.76,2.02
Variation 25,2.59,2.56
Variation 26,1.72,1.71
Variation 27,1.69,1.91
Variation 28,1.85,1.80
Variation 29,1.78,1.79
Variation 30,1.68,1.95
Aria da capo,2.11,2.35
